ABLG,AlternateID,CommonNameOLD,FamilyOLD,GenusOLD,SpeciesNameOLD,DonatingLab,Collector,CollectionDate,CollectionYear,CollectionMonth,CollectionDay,StateCountry,MarineRegion,FreshwaterWatershed,Location1,Location2,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,EstimatedLatLongYesNo,CruiseID,HaulID,StationID,Equipment_Gear,DepthM,StartDepthM,EndDepthM,TempC,Habitat,LengthMM,LengthType,FishDepthMM,WeightG,Lifestage,AgeYRS,Sex,CaptureTime,ReleaseTime,IdentifiedBy,Preservation,SampleRoom,SampleLocation,SampleSublocation,ExtractedBy,ExtractionDate,ExtractionMethod,ExtractionPlate,ExtractionWell,DNAngul,DNAquality,DNAroom,DNAlocation,DNAsublocation,Comments,WGSDateYYYYMMDD,WGSBatchID,WGSLaneID,WGSDate2YYYYMMDD,WGSBatchID2,WGSLaneID2,GTSeqDateYYYYMMDD,GTSeqPanel,GTSeqDate2YYYYMMDD,GTSeqPanel2,GTSeqDate3YYYYMMDD,GTSeqPanel3
37198,BD040;X361,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,7,9,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,17.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G05,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37199,BD041;=914,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,7,12,AK; USA,,,Western DPS,,56.89,-154.76,,,yes,,,,Biopsy Dart,,,,,,,,,,,16.1,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,H05,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37200,BD042;W348@,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,6,28,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,16,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,A06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37201,BD043;W353,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,6,30,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,16.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,B06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37202,BD044;H584,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,6,30,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,16.1,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,C06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37203,BD045;53V,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,8,31,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,5.2,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,D06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37204,BD046;35V,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,8,31,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,5.2,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,E06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37205,BD047;=741,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2021,8,31,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Biopsy Dart,,,,,,,,,,,12.2,F,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,F06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37206,NEC048;V82_2013023,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2013,6,10,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Necropsy,,,,,,,,,,,8,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,G06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
37207,NEC049;=422_2010015,Steller Sea Lion,Otariidae,Eumetopias,Eumetopias jubatus,ADFG-Kelly Hastings,,,2010,5,18,AK; USA,,,Eastern DPS,,58.54,-137.6,,,yes,,,,Necropsy,,,,,,,,,,,7.9,M,,,,Ethanol,,,,Jamie,20240531,Macherey-Nagel,DNA0147,H06,,,L212,F212_1,DNA0141 - DNA0160,,,,,,,,,,,,,
